Feed Name,Provider,Location,feed_url,expired,download_url
emt-malaga,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/emt-malaga,False,https://s3.gtfs.pro/files/uran/improved-gtfs-emt-malaga.zip
emt-tarragona,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/emt-tarragona,False,https://s3.gtfs.pro/files/uran/improved-gtfs-emt-tarragona.zip
ferry-balearia,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/ferry-balearia,False,https://s3.gtfs.pro/files/uran/improved-gtfs-ferry-balearia.zip
ferry-fredhlsen,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/ferry-fredhlsen,False,https://s3.gtfs.pro/files/uran/improved-gtfs-ferry-fredhlsen.zip
generalitat-catalunya,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/generalitat-catalunya,False,https://s3.gtfs.pro/files/uran/improved-gtfs-generalitat-catalunya.zip
gobierno-navarra,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/gobierno-navarra,False,https://s3.gtfs.pro/files/uran/improved-gtfs-gobierno-navarra.zip
infotuc,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/infotuc,False,https://s3.gtfs.pro/files/uran/improved-gtfs-infotuc.zip
menorca-tib,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/menorca-tib,False,https://s3.gtfs.pro/files/uran/improved-gtfs-menorca-tib.zip
metro-bilbao-esp,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/metro-bilbao-esp,False,https://s3.gtfs.pro/files/uran/improved-gtfs-metro-bilbao-esp.zip
metro-de-granada-eps,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/metro-de-granada-eps,False,https://s3.gtfs.pro/files/uran/improved-gtfs-metro-de-granada-eps.zip
metro-de-sevilla-esp,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/metro-de-sevilla-esp,False,https://s3.gtfs.pro/files/uran/improved-gtfs-metro-de-sevilla-esp.zip
metrotenerife,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/metrotenerife,False,https://s3.gtfs.pro/files/uran/improved-gtfs-metrotenerife.zip
moventis,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/moventis,False,https://s3.gtfs.pro/files/uran/improved-gtfs-moventis.zip
moventis-empresa,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/moventis-empresa,False,https://s3.gtfs.pro/files/uran/improved-gtfs-moventis-empresa.zip
moventis-sarfa,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/moventis-sarfa,False,https://s3.gtfs.pro/files/uran/improved-gtfs-moventis-sarfa.zip
